longitude,latitude,distance_from_green_street_m,green_percentage,crime_score,split,grid_row,grid_col,block_id
-88.24408244950529,40.14880967005272,4287.987544668277,0.0,0.0,train,62,355,27
-88.20069973990005,40.127513463676976,2462.18248279202,36.25,0.9747637,train,298,725,114
-88.24465826734644,40.0669432625064,4808.776843101552,3.75,0.0,train,971,351,387
-88.18758639718823,40.11479891863466,2752.6593850685713,0.0,0.0,train,439,837,176
-88.24039580025855,40.09819175970416,1338.4309789231481,10.0,2.6021338,train,624,387,247
-88.1749416322528,40.1044251320386,3853.50934784551,0.0,0.06134241,train,554,945,238
-88.18721116006171,40.12569598613216,3215.089341283722,0.0,0.0,train,318,840,136
-88.20723864163315,40.080958414413985,3453.4208298433987,0.0,0.0777041,train,815,670,333
-88.18161031585231,40.11190924685074,3226.0143799305306,1.25,0.0,train,471,888,197
-88.27289551570081,40.08191190424922,4083.66993485235,0.0,0.0,train,805,110,322
-88.22527440526117,40.093675504237275,1869.628364913256,58.25,0.6267099,train,674,516,270
-88.17273302910034,40.145850716497534,5579.462550790816,0.0,0.0,train,94,963,39
-88.20542753039693,40.108965935582184,1206.4777612500986,0.0,0.06407664,train,504,685,213
-88.23413520378247,40.12916804882469,2087.675174143762,0.0,1.2099936,train,280,440,108
-88.28377935532536,40.10974645847545,3535.5123543198215,0.75,0.0,train,496,17,180
-88.17807763484103,40.11793874566273,3616.2972464805343,4.25,0.0,train,404,918,178
-88.20611870843015,40.11572138067869,1266.9525787574396,0.0,2.4263215,train,429,679,173
-88.21392762397763,40.077543109185996,3702.5588360659417,82.75,0.0,train,853,613,352
-88.2232316416109,40.12420477304501,1515.2399957955197,0.0,0.01775032,train,335,533,130
-88.24423404641851,40.12260171365673,1385.0557646120108,1.0,2.4256303,train,353,354,147
-88.22798350104384,40.08593259765367,2723.7858034693936,5.5,0.0,train,760,493,309
-88.21789370171845,40.089435433127385,2356.0055608883386,58.75,0.0,train,721,579,291
-88.17284339177897,40.14882291167056,5809.100785037492,0.0,0.0,train,61,962,39
-88.17628235641098,40.13342702769855,4464.1111042509765,0.0,0.0,train,232,933,98
-88.20984765296932,40.06456974595532,5178.032341576903,0.0,0.0,train,997,648,392
-88.18783463091582,40.108404796670655,2703.5071812169767,0.0,0.7315172,train,510,835,216
-88.21275109527068,40.07988352802258,3459.9837920786767,0.0,0.0,train,827,623,332
-88.19278520368418,40.096612709545006,2752.160558793905,0.0,0.8793301,train,641,793,255
-88.18110230438819,40.076694058072384,4986.459538443895,3.5000000000000004,0.0,train,862,893,357
-88.17249704074621,40.14639076038592,5635.905892239314,0.0,0.0,train,88,965,39
-88.23716886433462,40.141148868520354,3423.600089367728,24.75,0.0,train,147,414,48
-88.24405510823698,40.08000194549973,3357.9538264557596,0.0,0.0,train,826,356,327
-88.24571626330211,40.064602424315765,5072.83508413546,3.25,0.0,train,997,342,386
-88.26368427483438,40.14657157080687,4428.728703124558,0.0,0.0,train,87,188,23
-88.26505306596978,40.068758341036144,4994.88854058048,0.0,0.0,train,951,177,383
-88.25992230413308,40.152603394087215,4940.043112156104,0.0,0.0,train,20,220,4
-88.2082935546228,40.14517407893842,3951.8005192007295,0.0,0.0,train,102,660,53
-88.25050746664006,40.07676447030687,3779.288150247368,22.0,0.0,train,862,301,346
-88.20682637879167,40.11365072024098,1124.5430931409078,0.75,0.58651066,train,452,673,193
-88.2042996793814,40.08509807188674,3113.3009136195933,17.25,0.0,train,769,695,313
-88.19409642686927,40.14371688771706,4261.398630657206,0.0,0.0,train,118,781,55
-88.2115399761134,40.10158739391467,1207.0522767249981,0.0,0.10650477,train,586,633,232
-88.18432233589432,40.10542826808205,3046.855253300241,20.75,0.0,train,543,865,217
-88.23862443224894,40.10701646175653,362.36509381712136,0.0,112.14386,train,526,402,208
-88.18979452590027,40.12461846984742,2964.8249378956302,0.0,0.0,train,330,818,136
-88.24007273864373,40.077116792082585,3678.469045033566,24.25,0.052882526,train,858,390,347
-88.21816373313622,40.06836096454291,4693.620768962811,0.0,0.0,train,955,577,391
-88.25076578124899,40.15403821646281,4918.917353461443,7.249999999999999,0.0,train,4,298,5
-88.24358991510297,40.07711957012476,3676.32022655852,17.5,0.0,train,858,360,347
